"Protein.ID","H26_vs_DksgA_PEP","H26_vs_DksgA_KsgA_PEP","H26_vs_DksgA_ksgA_E84A_PEP"
"895","HVO_2339 [D4GWI8] sensor box histidine kinase",0.346730404,0.397702302,0.41949526
"896","HVO_2338 [D4GWI7] (thrB) homoserine kinase",0.658046534,0.497136749,0.52114223
"897","HVO_2337 [D4GWI6] UspA domain protein",0.000825727,0.034967341,0.068223853
"898","HVO_2336 [D4GWI5] (pdxS) pyridoxal 5'-phosphate synthase subunit PdxS",0.000825727,0.650151827,0.740953169
"899","HVO_2334 [D4GWI3] conserved hypothetical protein",0.761075439,0.212540728,0.194467798
"900","HVO_2333 [D4GWI2] conserved hypothetical protein",0.894275485,0.29571958,0.26913217
"901","HVO_2328 [D4GWH7] (entB1) isochorismatase family protein",0.71855048,0.013782831,0.047264487
"902","HVO_2327 [D4GWH6] YcgG family protein",0.763776526,0.001470199,0.046012217
"903","HVO_2325 [D4GWH4] conserved hypothetical protein",0.292066536,0.000244843,0.000241787
"904","HVO_2324 [D4GWH2] SSSF family transport protein",1,1,1
"905","HVO_2322 [D4GWG8] YfiH family protein",0.593877498,0.596854657,0.52426472
"906","HVO_2321 [D4GWG5] (dnaG) DNA primase DnaG",0.883891187,0.058773623,0.043761065
"907","HVO_2320 [D4GWG3] GNAT family acetyltransferase",0.683317066,0.384942266,0.381021484
"908","HVO_2318 [D4GWF9] (uppS2) tritrans,polycis-undecaprenyl-diphosphate synthase (geranylgeranyl-diphosphate specific)",0.030029302,0.335837415,0.381021484
"909","HVO_2316 [D4GWF5] serpin family protein",0.72444746,0.34541177,0.000241787
"910","HVO_2315 [D4GWF3] (uppS1) tritrans,polycis-undecaprenyl-diphosphate synthase (geranylgeranyl-diphosphate specific)",0.709291817,0.36693585,0.3946963
"911","HVO_2314 [D4GWF1] conserved hypothetical protein",0.72444746,0.090541701,0.152993623
"912","HVO_2313 [D4GWE9] (ahbB) siroheme decarboxylase AhbB",0.767191295,0.500888957,0.256853092
"913","HVO_2312 [D4GWE7] (sirC) precorrin-2 oxidase / ferrochelatase",0.7968113,0.584956212,0.559023263
"914","HVO_2311 [D4GWE6] (hemA) glutamyl-tRNA reductase",0.458176577,0.586393966,0.588757556
"915","HVO_2309 [D4GWE2] (cad) probable pterin-4-alpha-carbinolamine dehydratase",0.736545771,0.158182567,0.046262577
"916","HVO_2308 [D4GWE0] conserved hypothetical protein",1,1,1
"917","HVO_2307 [D4GWD8] HAD superfamily hydrolase",0.704595012,0.272201691,0.34442889
"918","HVO_2306 [D4GWD4] receiver box response regulator",0.633058372,0.298121433,0.162498549
"919","HVO_2305 [D4GWD6] (moeA2) molybdopterin molybdenumtransferase",0.859339628,0.064403788,0.495699932
"920","HVO_2304 [D4GWG7] (moeA1) molybdopterin molybdenumtransferase",0.906313113,0.000244843,0.000241787
"921","HVO_2303 [D4GWH3] (hsp20E) Hsp20-type molecular chaperone",0.83426106,0.173865799,0.180323067
"922","HVO_2302 [D4GWH1] UbiB family protein",0.462957435,0.195601366,0.382605251
"923","HVO_2300 [D4GWG6] (tef5A) translation elongation factor aEF-5A",0.682446543,0.000244843,0.000241787
"924","HVO_2299 [D4GWG4] (speB) agmatinase",0.031621882,0.458418555,0.48279329
"925","HVO_2298 [D4GWG2] GTP cyclohydrolase 1 domain protein",0.77082172,0.410565989,0.520102767
"926","HVO_2297 [D4GWG0] (dhs1) deoxyhypusine synthase",0.67953374,0.008105458,0.009222174
"927","HVO_2294 [D4GWF4] conserved hypothetical protein",1,1,1
"928","HVO_2291 [D4GWE5] hypothetical protein",0.694496618,0.365993837,0.354348859
"929","HVO_2286 [D4GWD5] conserved hypothetical protein",0.17470314,1,0.450323622
"930","HVO_2278 [D4GVZ4] conserved hypothetical protein",1,1,1
"931","HVO_2276 [D4GVZ2] conserved hypothetical protein",0.562686334,1,1
"932","HVO_2271 [D4GVY7] (rmeS) type I site-specific deoxyribonuclease subunit RmeS",0.000825727,0.000244843,0.000241787
"933","HVO_2270 [D4GVY6] (rmeM) type I restriction-modification system DNA-methyltransferase RmeM",0.000826002,0.072891193,0.608401035
"934","HVO_2269 [D4GVY5] (rmeR) type I site-specific deoxyribonuclease subunit RmeR",0.000825727,0.000244843,0.000241787
"935","HVO_2268 [D4GVY4] (tbp4) TATA-binding transcription initiation factor",0.704872558,0.319908701,0.340109518
"936","HVO_2267 [D4GVY3] conserved hypothetical protein",0.630170223,0.382402588,0.383239222
"937","HVO_2266 [D4GVY2] conserved hypothetical protein",0.546781897,0.000244843,0.000241787
"938","HVO_2265 [D4GVY1] conserved hypothetical protein",0.746056043,0.496114914,0.414632593
"939","HVO_2263 [D4GVX9] HTH domain protein",0.000825727,0.000244843,0.000241787
"940","HVO_2256 [D4GVX2] DUF262 family protein",0.000825727,0.000244843,0.000241787
"941","HVO_2255 [D4GVX1] conserved hypothetical protein",0.740939396,0.0098309,0.005331322
"942","HVO_2253 [D4GVW9] conserved hypothetical protein",0.709566686,1,1
"943","HVO_2250 [D4GVW6] (apt3) purine phosphoribosyltransferase (adenine phosphoribosyltransferase, xanthine-guanine phosphoribosyltransferase)",0.580978502,0.430712519,0.431883508
"944","HVO_2248 [D4GVW4] conserved hypothetical protein",0.370722328,0.027953384,0.000241787
"945","HVO_2244 [D4GVW0] fumarylacetoacetase family protein",0.70625791,0.224800153,0.319002347
"946","HVO_2242 [D4GVV8] (tif2b2) translation initiation factor aIF-2 beta subunit / probable RNA-binding protein",0.000825727,0.096299187,0.315968088
"947","HVO_2239 [D4GVV5] UspA domain protein",0.011490414,0.000244843,0.000241787
"948","HVO_2234 [D4GVV0] (msrB) peptide methionine sulfoxide reductase MsrB (R-form specific)",0.541505194,0.002451199,0.006059987
"949","HVO_2233 [D4GVU9] conserved hypothetical protein",1,1,1
"950","HVO_2232 [D4GVU8] (cirD) KaiC-type circadian clock protein CirD",0.460788979,0.247297375,0.083322336
"951","HVO_2231 [D4GVU7] probable oxidoreductase (aldo-keto reductase family protein)",0.790627832,0.094202876,0.063904423
"952","HVO_2230 [D4GVU6] HAD superfamily hydrolase",0.752122587,0.452109811,0.480427318
"953","HVO_2229 [D4GVU5] flavin-containing amine-oxidoreductase",0.535796586,0.36317119,0.377227199
"954","HVO_2228 [D4GVU4] PHP domain protein",0.651912423,1,1
"955","HVO_2227 [D4GVU3] (ahbA) siroheme decarboxylase AhbA",0.852812583,0.064147385,0.060863689
"956","HVO_2226 [D4GVU2] (trpD2) probable phosphoribosyltransferase (homolog to anthranilate phosphoribosyltransferase)",0.591806452,0.562473,0.521488869
"957","HVO_2225 [D4GVU1] AstE domain protein",0.000825727,0.489658105,0.700995412
"958","HVO_2222 [D4GVT8] (ppiA) CYPL-type peptidylprolyl isomerase",0.219104203,0.000244843,0.000241787
"959","HVO_2220 [D4GVT6] (htr38) transducer protein Htr38",0.654681896,0.314432921,0.399495722
"960","HVO_2218 [D4GVF0] conserved hypothetical protein",0.675427006,0.400908457,0.489573001
"961","HVO_2213 [D4GVE6] conserved hypothetical protein",0.766461712,0.004906741,0.000483779
"962","HVO_2209 [D4GVE2] (oadhA4) probable branched-chain amino acid dehydrogenase E1 component alpha subunit",0.784824341,0.000244843,0.000241787
"963","HVO_2207 [D4GVE0] (tmk) thymidylate kinase",0.805145996,0.000244843,0.000241867
"964","HVO_2205 [D4GVD8] (nolA) arNOG06768 family NADH-binding domain protein",0.056690432,0.000244843,0.000241787
"965","HVO_2204 [D4GVD7] (cetZ1) FtsZ family protein CetZ, type III",0.079507815,0.609202271,0.154347525
"966","HVO_2203 [D4GVD6] conserved hypothetical protein",0.703761423,0.391628438,0.381971545
"967","HVO_2201 [D4GVD4] (cofG) 7,8-didemethyl-8-hydroxy-5-deazariboflavin synthase",0.733419447,0.482888992,0.504592368
"968","HVO_2198 [D4GVD1] (cofH) 5-amino-6-(D-ribitylamino)uracil--L-tyrosine 4-hydroxyphenyl transferase",0.565596001,0.08897549,0.264734867
"969","HVO_2194 [D4GVC7] (sir2) Sir2-type NAD-dependent protein deacetylase",0.06741917,0.000244843,0.000241787
"970","HVO_2193 [D4GVC6] (purC) phosphoribosylaminoimidazole-succinocarboxamide synthase",0.761075439,0.006136145,0.014346297
"971","HVO_2191 [D4GVC4] (purU) formyltetrahydrofolate deformylase<|>HVO_2930 [D4GXV7] GNAT family acetyltransferase",0.590767954,0.000244843,0.075112525
"972","HVO_2191 [D4GVC4] (purU) formyltetrahydrofolate deformylase",0.833426405,0.000244843,0.000241787
"973","HVO_2190 [D4GVC3] gluconate permease",0.005764968,0.191676503,0.000241787
"974","HVO_2189 [D4GVC2] (purS) phosphoribosylformylglycinamidine synthase subunit PurS",0.620754177,0.000244843,0.000241787
"975","HVO_2188 [D4GVC1] (purQ) phosphoribosylformylglycinamidine synthase subunit PurQ",0.301579898,0.145104688,0.072557088
"976","HVO_2187 [D4GVC0] TIGR01210 family protein",0.898211006,0.345101999,0.668790655
"977","HVO_2186 [D4GVB9] DICT domain protein",0.656825597,0.356292732,0.396614251
"978","HVO_2183 [D4GVB6] (aor4) aldehyde ferredoxin oxidoreductase",0.000825727,0.000244843,0.000241787
"979","HVO_2179 [D4GVB2] conserved hypothetical protein",1,1,1
"980","HVO_2178 [D4GVB1] ubiquitin-like protein",1,1,1
"981","HVO_2177 [D4GVB0] (samp3) ubiquitin-like modifier protein SAMP3",0.734985205,0.011311558,0.000241787
"982","HVO_2176 [D4GVA9] conserved hypothetical protein (nonfunctional)",0.709291817,0.520816744,0.475032807
"983","HVO_2175 [D4GVA8] (sph3) Smc-like protein Sph3<|>HVO_B0173 [D4GPH4] (sph4) Smc-like protein Sph4",0.519502489,0.356604734,0.419819988
"984","HVO_2175 [D4GVA8] (sph3) Smc-like protein Sph3",0.632417941,0.000244843,0.000241787
"985","HVO_2174 [D4GVA7] conserved hypothetical protein",0.72444746,0.41088892,0.000241787
"986","HVO_2173 [D4GVA6] DUF1616 family protein",0.67247284,1,1
"987","HVO_2172 [D4GVA5] conserved hypothetical protein",0.618126735,0.192236562,0.617576323
"988","HVO_2171 [D4GVA4] DUF58 family protein",0.696476604,0.26925045,0.143015327
"989","HVO_2169 [D4GVA2] conserved hypothetical protein",0.754127218,0.023712002,0.162498549
"990","HVO_2168 [D4GVA1] (moxR3) AAA-type ATPase (MoxR subfamily)",0.889936518,0.436281238,0.642049731
"991","HVO_2167 [D4GVA0] conserved hypothetical protein",0.702368923,1,1
"992","HVO_2165 [D4GV98] ABC-type transport system permease protein",0.77082172,0.515984386,0.542778438
"993","HVO_2163 [D4GV96] ABC-type transport system ATP-binding protein",0.028433634,0.003924003,0.319609945
"994","HVO_2161 [D4GV94] probable secreted glycoprotein",0.71448773,0.40572988,0.417224093
"995","HVO_2160 [D4GV93] probable secreted glycoprotein",0.592842965,0.846790703,0.000241787
"996","HVO_2159A [-] conserved hypothetical protein",0.767434229,0.297220297,0.079981128
"997","HVO_2158 [D4GV91] (maeB1) malic enzyme (NADP)<|>HVO_2436 [D4GSQ3] (maeB2) malate dehydrogenase (oxaloacetate-decarboxylating)",0.75086526,0.004906741,0.096509707
"998","HVO_2158 [D4GV91] (maeB1) malic enzyme (NADP)",0.000825727,0.000244843,0.000241787
"999","HVO_2156 [D4GV89] UspA domain protein",0.846382913,0.000244843,0.000241787
"1000","HVO_2154 [D4GV87] (thiC) phosphomethylpyrimidine synthase",0.762305186,0.31412928,0.085382543
"1001","HVO_2153 [D4GV86] probable copper-containing oxidoreductase",0.72524597,0.000244843,0.000241787
"1002","HVO_2151 [D4GV84] HTH-10 family transcription regulator",0.700972429,0.34138954,0.38007202
"1003","HVO_2150 [D4GV83] (hcpG) halocyanin",0.815072252,0.000244843,0.000241787
"1004","HVO_2145 [D4GUU2] (hcpF) halocyanin<|>HVO_2150 [D4GV83] (hcpG) halocyanin",0.711212621,0.201508208,1
"1005","HVO_2133 [D4GUT0] (orc16) Orc1-type DNA replication protein",0.640051589,0.419632922,0.381021484
"1006","HVO_2131 [D4GUS8] (fbp2) fructose-1,6-bisphosphatase",0.737324114,0.049608724,0.007032164
"1007","HVO_2130 [D4GUS7] IclR family transcription regulator",0.002475567,0.000244843,0.000241787
"1008","HVO_2127 [D4GUS4] M20 family amidohydrolase (homolog to indole-3-acetyl-aspartate hydrolase)",0.709291817,0.42125746,0.429920811
"1009","HVO_2126 [D4GUS3] (dppA4) ABC-type transport system periplasmic substrate-binding protein (probable substrate dipeptide/oligopeptide)",0.776808401,0.000244843,0.000241787
"1010","HVO_2122 [D4GUR9] (dppF4) ABC-type transport system ATP-binding protein (probable substrate dipeptide/oligopeptide)",0.670394523,1,1
"1011","HVO_2115 [D4GUR2] probable oxidoreductase (aldo-keto reductase family protein)",0.637519478,0.181631549,0.262102853
"1012","HVO_2111 [D4GUQ8] (pdxA) probable D-threonate 4-phosphate dehydrogenase",0.48547612,0.443846308,0.294602293
"1013","HVO_2110 [D4GUQ7] IclR family transcription regulator",0.670096918,0.425814986,0.387684469
"1014","HVO_2109 [D4GUQ6] homolog to xylulose kinase",0.670691952,1,1
"1015","HVO_2108 [D4GUQ5] IclR family transcription regulator",0.510380637,0.078318789,0.030085496
"1016","HVO_2106 [D4GUQ3] DeoC family aldolase",1,1,1
"1017","HVO_2104 [D4GUQ1] phosphotransferase system component IIB",0.702926401,0.482551274,0.460293513
"1018","HVO_2103 [D4GUQ0] phosphotransferase system component IIC",0.666511865,1,1
"1019","HVO_2102 [D4GUP9] phosphotransferase system component IIA",0.128215809,0.005152535,0.014346297
"1020","HVO_2101 [D4GUP8] (ptsH3) phosphocarrier protein HPr",0.638153666,0.309581831,0.238914889
"1021","HVO_2096 [D4GUP3] homolog to NAD-dependent epimerase/dehydratase",0.807149516,0.007120452,0.001451867
"1022","HVO_2095 [D4GUP2] (qor4) NADPH:quinone reductase",0.704317308,0.001715384,0.000725734
"1023","HVO_2094 [D4GUP1] ABC-type transport system periplasmic substrate-binding protein",0.507575792,0.000489893,0.002420665
"1024","HVO_2093 [D4GUP0] (nhaC4) probable NhaC-type sodium/proton antiporter",1,1,1
"1025","HVO_2092 [D4GUN9] IclR family transcription regulator",0.705981156,0.314736622,1
"1026","HVO_2091 [D4GUN8] pyridoxal phosphate-dependent aminotransferase<|>HVO_2871 [D4GXI1] pyridoxal phosphate-dependent aminotransferase",0.003299131,0.183857867,0.000241787
"1027","HVO_2091 [D4GUN8] pyridoxal phosphate-dependent aminotransferase",0.000825727,0.000244843,0.055306714
"1028","HVO_2089 [D4GUN7] conserved hypothetical protein",0.812886022,0.206872809,0.373127453
"1029","HVO_2087 [D4GUN5] glycoside hydrolase domain protein",0.723914374,0.358165678,0.25539819
"1030","HVO_2084 [D4GUN2] ABC-type transport system permease protein (probable substrate macrolides)",0.683896568,0.382085415,0.415603891
"1031","HVO_2083 [D4GUN1] ABC-type transport system ATP-binding protein (probable substrate macrolides)",0.428680902,0.445165619,0.386413067
"1032","HVO_2082 [D4GUN0] conserved hypothetical protein",0.005764968,0.360666433,0.378490903
"1033","HVO_2081 [D4GUM9] pectin lyase domain protein",0.000825727,0.000244843,0.000241787
"1034","HVO_2080 [D4GUM8] conserved hypothetical protein",0.638153666,0.000244843,0.000241787
"1035","HVO_2079 [D4GUM7] RND superfamily permease",0.004121885,0.154629067,0.015079931
"1036","HVO_2075 [D4GU89] IS1341-type transposase ISHvo23",0.645391538,1,0.298191722
"1037","HVO_2073 [D4GU86] TrmB family transcription regulator",0.72338069,0.325709826,0.395335348
"1038","HVO_2072 [P25062] (csg) S-layer glycoprotein",0.810247845,0.003924003,0.001209779
"1039","HVO_2071 [D4GU84] probable secreted glycoprotein",0.826476825,0.000244843,0.000241787
"1040","HVO_2070 [D4GU83] conserved hypothetical protein",0.000825727,0.039494917,0.065427356
"1041","HVO_2069 [D4GU82] RND superfamily permease",0.000825727,0.092371117,0.537516786
"1042","HVO_2068 [D4GU81] (cetZ6) FtsZ family protein CetZ, type III",0.752624562,0.555751384,0.306300094
"1043","HVO_2067 [D4GU80] TetR family transcription regulator",0.858357342,0.008598223,0.000241787
"1044","HVO_2066 [D4GU79] conserved hypothetical protein",1,1,1
"1045","HVO_2063 [D4GU76] conserved hypothetical protein",0.758605987,0.399945929,0.270894816
"1046","HVO_2062 [D4GU75] (pilA2) pilin PilA",0.719628088,0.3741768,0.33181447
"1047","HVO_2061 [D4GU74] (agl6) low-salt glycan biosynthesis hexosyltransferase Agl6",0.083248343,0.386531645,0.532970724
"1048","HVO_2060 [D4GU73] (agl8) low-salt glycan biosynthesis protein Agl8",0.001651191,0.001960612,0.000241867
"1049","HVO_2059 [D4GU72] (agl12) dTDP-glucose 4,6-dehydratase",0.236991284,0.000979959,0.021455099
"1050","HVO_2058 [D4GU71] (agl14) dTDP-4-dehydrorhamnose reductase",0.356534686,0.101816636,0.186130257
"1051","HVO_2057A [L9V9K4] small CPxCG-related zinc finger protein",0.787619482,0.296920036,0.469656895
"1052","HVO_2057 [D4GU70] (agl11) glucose-1-phosphate thymidylyltransferase Agl11",0.146326337,0.000244843,0.000241787
"1053","HVO_2056 [D4GU69] (agl13) dTDP-4-dehydrorhamnose 3,5-epimerase",0.510380637,0.537493298,0.404310332
"1054","HVO_2055 [D4GU68] (agl15) probable low-salt glycan biosynthesis flippase Agl15",1,1,1
"1055","HVO_2053 [D4GU66] (agl5) low-salt glycan biosynthesis hexosyltransferase Agl5",0.152497021,0.000979959,0.00290533
"1056","HVO_2052 [D4GU65] conserved hypothetical protein",1,1,1
"1057","HVO_2049 [D4GU63] (agl10) low-salt glycan biosynthesis hexosyltransferase Agl10",0.000825727,0.145104688,0.250172606
"1058","HVO_2048 [D4GU62] (agl9) low-salt glycan biosynthesis hexosyltransferase Agl9",0.000825727,0.349444416,0.272953936
"1059","HVO_2047 [D4GU61] AlkP-core domain protein",0.000825727,0.298121433,0.25307338
"1060","HVO_2046 [D4GU60] (agl7) low-salt glycan biosynthesis sulfotransferase Agl7",0.000825727,0.000244843,0.000241787
"1061","HVO_2045 [D4GU59] conserved hypothetical protein",0.673065068,0.308068994,0.319609945
"1062","HVO_2042 [D4GU56] (orc4) Orc1-type DNA replication protein",0.668606245,0.305047775,0.319002347
"1063","HVO_2040 [D4GU54] GalE family epimerase/dehydratase",0.833843939,0.000244843,0.000241787
"1064","HVO_2038 [D4GU52] ABC-type transport system periplasmic substrate-binding protein",0.679825789,0.352553563,0.39501579
"1065","HVO_2035 [D4GU48] TrmB family transcription regulator",0.590074515,0.001225057,0.347212239
"1066","HVO_2034 [D4GU47] (tsgC12) ABC-type transport system permease protein (probable substrate sugar)",0.49744734,1,1
"1067","HVO_2033 [D4GU46] (tsgB12) ABC-type transport system permease protein (probable substrate sugar)",0.689368277,0.285255545,0.333653825
"1068","HVO_2032 [D4GU45] (tsgD12) ABC-type transport system ATP-binding protein (probable substrate sugar)",0.039538779,0.000244843,0.000241787
"1069","HVO_2031 [D4GU44] (tsgA12) ABC-type transport system periplasmic substrate-binding protein (probable substrate sugar)",0.089937309,0.000244843,0.000241787
"1070","HVO_2029 [D4GU43] Lrp/AsnC family transcription regulator",0.617467829,0.061074166,0.037278856
"1071","HVO_2027 [D4GU40] DoxX domain protein",0.652529159,0.022964857,0.119831085
"1072","HVO_2024 [D4GU37] conserved hypothetical protein",0.039538779,0.427772199,0.266785288
"1073","HVO_2021 [D4GU34] conserved hypothetical protein",0.000825727,0.118763529,0.001451867
"1074","HVO_2020 [D4GU33] DUF502 family protein",0.705149945,0.000489893,0.003875193
"1075","HVO_2019 [D4GU32] PRC domain protein",0.678363832,0.418658992,0.286260926
"1076","HVO_2018 [D4GU31] conserved hypothetical protein",0.689368277,0.494073159,0.573642601
"1077","HVO_2016 [D4GU29] conserved hypothetical protein",0.031621882,0.003432894,0.00727532
"1078","HVO_2015 [D4GU28] conserved hypothetical protein",0.004943831,0.000244843,0.005331322
"1079","HVO_2014 [D4GU27] small CPxCG-related zinc finger protein",0.727898019,0.422883655,0.445362657
"1080","HVO_2013 [D4GU26] (cetZ5) FtsZ family protein CetZ, type III",0.73158613,0.294819854,0.40591859
"1081","HVO_2012 [D4GTP0] receiver box response regulator",0.674247429,1,1
"1082","HVO_2011 [D4GTN9] conserved hypothetical protein",0.799983663,0.000244843,0.000241787
